"make","variant","length","big_region","small_region","price","year","gdp"
"Lagoon","420","41.00","Europe","Germany",314925,"2007",37842.3577913563
"Fountaine Pajot","Orana 44","43.00","Caribbean","Puerto Rico",315000,"2007",29347.8915630732
"Fountaine Pajot","Orana 44","43.00","USA","Maryland",320000,"2007",54299.6172405205
"Lagoon","440","44.60","Europe","Spain",394877,"2007",27218.4492597353
"Lagoon","440","44.60","Europe","Spain",394469,"2007",27218.4492597353
"Lagoon","440","44.60","Europe","Spain",339729,"2007",27218.4492597353
"Lagoon","440","44.60","Europe","Spain",309506,"2007",27218.4492597353
"Lagoon","440","44.60","Europe","Greece",297676,"2007",24072.7918188691
"Lagoon","440","44.60","Europe","Greece",297369,"2007",24072.7918188691
"Lagoon","440","44.60","USA","Florida",349000,"2007",54299.6172405205
"Lagoon","440","44.60","USA","Maryland",310000,"2007",54299.6172405205
"Lagoon","440","44.60","USA","Florida",294000,"2007",54299.6172405205
"Fountaine Pajot","Salina 48","47.00","Europe","Turkey",345919,"2007",8414.25350387565
"Lagoon","420","49.00","USA","Florida",435000,"2007",54299.6172405205
"Lagoon","500","51.00","Europe","Spain",594150,"2007",27218.4492597353
"Lagoon","500","51.00","Europe","Italy",497146,"2007",34081.0903298709
"Lagoon","380","38.00","Europe","Italy",236447,"2008",33530.3601449597
"Lagoon","380","38.00","USA","Florida",229000,"2008",53854.1606116578
"Leopard","40","39.00","Europe","France",273094,"2008",36354.6586641081
"Nautitech","40","39.50","Europe","Croatia",191772,"2008",12980.080450727
"Lagoon","420","41.00","Caribbean","Guatemala",380000,"2008",3620.82336964724
"Lagoon","420","41.00","Caribbean","Cayman Islands",310061,"2008",93166.3159784497
"Lagoon","420","41.00","Caribbean","Cayman Islands",309705,"2008",93166.3159784497
"Lagoon","420","41.00","Caribbean","Cayman Islands",297902,"2008",93166.3159784497
"Lagoon","420","41.00","Caribbean","Cayman Islands",297560,"2008",93166.3159784497
"Lagoon","420","41.00","Europe","Greece",358335,"2008",23928.5019625017
"Lagoon","420","41.00","Europe","Greece",358056,"2008",23928.5019625017
"Lagoon","420","41.00","Europe","France",338900,"2008",36354.6586641081
"Lagoon","420","41.00","Europe","France",338636,"2008",36354.6586641081
"Lagoon","420","41.00","Europe","France",338028,"2008",36354.6586641081
"Lagoon","420","41.00","Europe","France",337640,"2008",36354.6586641081
"Lagoon","420","41.00","Europe","Spain",327968,"2008",27025.2949432871
"Lagoon","420","41.00","Europe","Spain",327712,"2008",27025.2949432871
"Lagoon","420","41.00","Europe","Greece",303982,"2008",23928.5019625017
"Lagoon","420","41.00","Europe","Greece",303633,"2008",23928.5019625017
"Lagoon","420","41.00","USA","Florida",396000,"2008",53854.1606116578
"Lagoon","420","41.00","USA","Maryland",389900,"2008",53854.1606116578
"Lagoon","420","41.00","USA","Florida",375000,"2008",53854.1606116578
"Lagoon","440","42.00","Europe","Italy",303982,"2008",33530.3601449597
"Lagoon","440","42.00","Europe","Italy",297902,"2008",33530.3601449597
"Fountaine Pajot","Orana 44","43.00","Caribbean","Guatemala",339000,"2008",3620.82336964724
"Fountaine Pajot","Orana 44","43.00","Europe","France",338636,"2008",36354.6586641081
"Fountaine Pajot","Orana 44","43.00","Europe","Greece",328300,"2008",23928.5019625017
"Fountaine Pajot","Orana 44","43.00","Europe","Greece",328300,"2008",23928.5019625017
"Fountaine Pajot","Orana 44","43.00","Europe","Greece",327968,"2008",23928.5019625017
"Fountaine Pajot","Orana 44","43.00","Europe","Turkey",285231,"2008",8376.14924620652
"Fountaine Pajot","Orana 44","43.00","Europe","Turkey",261424,"2008",8376.14924620652
"Nautitech","44","44.00","Europe","Greece",312493,"2008",23928.5019625017
"Lagoon","440","44.60","Caribbean","Dominican Republic",325000,"2008",5373.09625339146
"Lagoon","440","44.60","Caribbean","Mexico",303674,"2008",9888.13944322185
"Lagoon","440","44.60","Caribbean","Mexico",303437,"2008",9888.13944322185
"Lagoon","440","44.60","Europe","Spain",431327,"2008",27025.2949432871
"Lagoon","440","44.60","Europe","Spain",430881,"2008",27025.2949432871
"Lagoon","440","44.60","Europe","Italy",388400,"2008",33530.3601449597
"Lagoon","440","44.60","Europe","Turkey",388400,"2008",8376.14924620652
"Lagoon","440","44.60","Europe","Italy",388400,"2008",33530.3601449597
"Lagoon","440","44.60","Europe","France",376652,"2008",36354.6586641081
"Lagoon","440","44.60","Europe","France",376262,"2008",36354.6586641081
"Lagoon","440","44.60","Europe","Turkey",346276,"2008",8376.14924620652
"Lagoon","440","44.60","Europe","Turkey",345919,"2008",8376.14924620652
"Lagoon","440","44.60","Europe","Turkey",334126,"2008",8376.14924620652
"Lagoon","440","44.60","Europe","Turkey",333781,"2008",8376.14924620652
"Lagoon","440","44.60","Europe","Croatia",313471,"2008",12980.080450727
"Lagoon","440","44.60","Europe","Croatia",313147,"2008",12980.080450727
"Lagoon","440","44.60","USA","Maryland",359000,"2008",53854.1606116578
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",503706,"2008",23928.5019625017
"Fountaine Pajot","Salina 48","47.00","Europe","Italy",418744,"2008",33530.3601449597
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",376556,"2008",23928.5019625017
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",376262,"2008",23928.5019625017
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",346188,"2008",23928.5019625017
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",345919,"2008",23928.5019625017
"Fountaine Pajot","Salina 48","47.00","Europe","Greece",333781,"2008",23928.5019625017
"Lagoon","500","51.00","Europe","Italy",667562,"2008",33530.3601449597
"Lagoon","500","51.00","Europe","Greece",606875,"2008",23928.5019625017
"Lagoon","500","51.00","Europe","Portugal",546613,"2008",19985.6983319711
"Lagoon","500","51.00","Europe","Portugal",545648,"2008",19985.6983319711
"Lagoon","500","51.00","Europe","Italy",412997,"2008",33530.3601449597
"Lagoon","500","51.00","Europe","Italy",412675,"2008",33530.3601449597
"Lagoon","500","51.00","Europe","Italy",411782,"2008",33530.3601449597
"Lagoon","500","51.00","Europe","Italy",411461,"2008",33530.3601449597
"Fountaine Pajot","Lipari 41","40.00","Caribbean","Belize",194008,"2009",5954.4055819312
"Lagoon","420","41.00","USA","Florida",309000,"2009",51996.1834952422
"Lagoon","420","41.00","USA","Florida",280000,"2009",51996.1834952422
"Lagoon","420","41.00","USA","Florida",280000,"2009",51996.1834952422
"Fountaine Pajot","Orana 44","43.00","Caribbean","Antigua and Barbuda",327712,"2009",17809.9326764468
"Fountaine Pajot","Orana 44","43.00","USA","Florida",3e+05,"2009",51996.1834952422
"Lagoon","440","44.60","Europe","Croatia",435736,"2009",12055.8455905323
"Lagoon","440","44.60","Europe","Croatia",347755,"2009",12055.8455905323
"Lagoon","440","44.60","USA","Maryland",525000,"2009",51996.1834952422
"Fountaine Pajot","Salina 48","47.00","Europe","Croatia",315454,"2009",12055.8455905323
"Lagoon","500","51.00","Europe","Greece",546187,"2009",22839.2485386418
"Lagoon","500","51.00","Europe","Greece",521912,"2009",22839.2485386418
"Lagoon","500","51.00","Europe","Greece",503208,"2009",22839.2485386418
"Lagoon","500","51.00","USA","Florida",425000,"2009",51996.1834952422
"Lagoon","400","39.00","Europe","Turkey",279380,"2010",8396.92342026278
"Lagoon","400","39.00","Europe","Turkey",279162,"2010",8396.92342026278
"Fountaine Pajot","Lipari 41","39.00","Europe","Portugal",278887,"2010",19670.3610686333
"Lagoon","400","39.00","Europe","Greece",267233,"2010",21560.3533533658
"Lagoon","400","39.00","Europe","Greece",267025,"2010",21560.3533533658
"Fountaine Pajot","Lipari 41","39.00","Europe","France",218882,"2010",35638.1215603451
"Lagoon","400","39.00","Europe","Croatia",217486,"2010",11933.0187800985
"Lagoon","400","39.00","Europe","Croatia",217261,"2010",11933.0187800985
"Lagoon","421","42.00","Europe","Turkey",437734,"2010",8396.92342026278
"Lagoon","421","42.00","Europe","Italy",327968,"2010",32058.1739940798
"Lagoon","421","42.00","Europe","Italy",327712,"2010",32058.1739940798
"Lagoon","421","42.00","Europe","Greece",285231,"2010",21560.3533533658
"Fountaine Pajot","Orana 44","43.00","USA","Florida",390000,"2010",52963.4641697124
"Lagoon","440","44.60","Caribbean","Sint Maarten (Dutch part)",345000,"2010",38107.6279295287
"Lagoon","440","44.60","Europe","Spain",424812,"2010",25702.3468448149
"Lagoon","440","45.80","Europe","France",479431,"2010",35638.1215603451
"Lagoon","500","51.00","Europe","Croatia",721467,"2010",11933.0187800985
"Lagoon","500","51.00","Europe","Turkey",589128,"2010",8396.92342026278
"Lagoon","500","51.00","Europe","Turkey",588087,"2010",8396.92342026278
"Lagoon","500","51.00","Europe","Croatia",576531,"2010",11933.0187800985
"Lagoon","500","51.00","Europe","Croatia",575961,"2010",11933.0187800985
"Leopard","39","37.50","USA","Florida",339000,"2011",53394.8618380061
"Leopard","39","37.50","USA","Florida",339000,"2011",53394.8618380061
"Lagoon","380","38.00","Europe","Greece",236447,"2011",19400.8077326583
"Fountaine Pajot","Lipari 41","39.00","Europe","Italy",346563,"2011",32229.4567910904
"Fountaine Pajot","Lipari 41","39.00","Europe","Malta",302787,"2011",20566.4277747482
"Fountaine Pajot","Lipari 41","39.00","Europe","Turkey",267522,"2011",9201.33726059829
"Fountaine Pajot","Lipari 41","39.00","Europe","Turkey",266761,"2011",9201.33726059829
"Fountaine Pajot","Lipari 41","39.00","Europe","Turkey",266761,"2011",9201.33726059829
"Lagoon","400","39.00","Europe","Croatia",264804,"2011",11964.3584426587
"Lagoon","400","39.00","Europe","Croatia",264597,"2011",11964.3584426587
"Lagoon","400","39.00","Europe","Croatia",217486,"2011",11964.3584426587
"Lagoon","400","39.00","Europe","Croatia",217261,"2011",11964.3584426587
"Lagoon","400","39.00","Europe","Croatia",206095,"2011",11964.3584426587
"Fountaine Pajot","Lipari 41","39.00","Europe","Croatia",194562,"2011",11964.3584426587
"Fountaine Pajot","Lipari 41","39.00","Europe","Croatia",169026,"2011",11964.3584426587
"Lagoon","421","42.00","Europe","Portugal",333781,"2011",19365.1816488681
"Lagoon","421","42.00","Europe","Italy",297902,"2011",32229.4567910904
"Leopard","44","42.50","Caribbean","U.S. Virgin Islands",339000,"2011",43320.176769501
"Leopard","44","42.50","Caribbean","Saint Kitts and Nevis",339000,"2011",17653.7411196915
"Leopard","44","42.50","Caribbean","U.S. Virgin Islands",339000,"2011",43320.176769501
"Leopard","44","42.50","Caribbean","Saint Kitts and Nevis",339000,"2011",17653.7411196915
"Leopard","44","42.50","USA","Florida",459000,"2011",53394.8618380061
"Leopard","44","42.50","USA","Florida",459000,"2011",53394.8618380061
"Fountaine Pajot","Orana 44","43.00","Europe","Turkey",339850,"2011",9201.33726059829
"Lagoon","450","45.80","Caribbean","U.S. Virgin Islands",475000,"2011",43320.176769501
"Lagoon","450","45.80","Europe","France",533522,"2011",36244.1871625918
"Lagoon","450","45.80","Europe","Greece",516246,"2011",19400.8077326583
"Lagoon","450","45.80","Europe","Greece",515844,"2011",19400.8077326583
"Lagoon","450","45.80","Europe","France",510725,"2011",36244.1871625918
"Lagoon","450","45.80","Europe","France",510302,"2011",36244.1871625918
"Lagoon","450","45.80","Europe","France",510172,"2011",36244.1871625918
"Lagoon","450","45.80","Europe","Malta",479431,"2011",20566.4277747482
"Lagoon","450","45.80","Europe","Greece",472895,"2011",19400.8077326583
"Lagoon","450F","45.80","Europe","Turkey",462084,"2011",9201.33726059829
"Lagoon","450","45.80","Europe","Greece",448644,"2011",19400.8077326583
"Lagoon","450","45.80","Europe","Greece",407335,"2011",19400.8077326583
"Lagoon","450","45.80","Europe","Italy",389097,"2011",32229.4567910904
"Lagoon","450F","45.80","USA","Florida",499000,"2011",53394.8618380061
"Lagoon","450F","45.80","USA","Florida",499000,"2011",53394.8618380061
"Fountaine Pajot","Salina 48","47.00","Caribbean","Panama",450000,"2011",11248.0034066621
"Lagoon","500","51.00","Caribbean","U.S. Virgin Islands",499000,"2011",43320.176769501
"Lagoon","500","51.00","Caribbean","U.S. Virgin Islands",443813,"2011",43320.176769501
"Lagoon","380","38.00","USA","New York",292000,"2012",54213.4595516389
"Lagoon","39","38.40","Europe","Italy",310061,"2012",31184.5584255896
"Fountaine Pajot","Lipari 41","39.00","Caribbean","Guatemala",315000,"2012",3731.66847179214
"Lagoon","400","39.00","Europe","Portugal",315575,"2012",18654.9575281944
"Lagoon","400","39.00","Europe","Greece",291300,"2012",18123.6710971914
"Lagoon","400","39.00","Europe","Greece",279162,"2012",18123.6710971914
"Lagoon","400","39.00","Europe","Croatia",241786,"2012",11720.1723170841
"Lagoon","400","39.00","Europe","Croatia",241536,"2012",11720.1723170841
"Lagoon","400","39.00","Europe","Croatia",241536,"2012",11720.1723170841
"Lagoon","400","39.00","Europe","Sweden",236681,"2012",48885.5484179725
"Lagoon","400","39.00","Europe","Croatia",218639,"2012",11720.1723170841
"Lagoon","421","41.00","Europe","Italy",369828,"2012",31184.5584255896
"Leopard","44","42.50","Europe","Greece",273094,"2012",18123.6710971914
"Fountaine Pajot","Helia 44","43.60","Europe","France",520699,"2012",36182.1511275816
"Fountaine Pajot","Helia 44","43.60","Europe","Greece",449893,"2012",18123.6710971914
"Fountaine Pajot","Helia 44","43.60","Europe","Greece",449438,"2012",18123.6710971914
"Lagoon","450","45.80","Caribbean","Belize",400142,"2012",5807.26305278482
"Lagoon","450","45.80","Europe","Italy",486371,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Greece",486249,"2012",18123.6710971914
"Lagoon","450","45.80","Europe","Italy",474211,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Italy",473362,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","France",472895,"2012",36182.1511275816
"Lagoon","450","45.80","Europe","Italy",449438,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Italy",449087,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Italy",448644,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","France",411782,"2012",36182.1511275816
"Lagoon","450","45.80","Europe","France",411461,"2012",36182.1511275816
"Lagoon","450","45.80","Europe","Greece",400850,"2012",18123.6710971914
"Lagoon","450","45.80","Europe","Greece",400537,"2012",18123.6710971914
"Lagoon","450","45.80","Europe","Croatia",398420,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",398420,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",398110,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",397717,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Greece",388802,"2012",18123.6710971914
"Lagoon","450","45.80","Europe","Greece",388016,"2012",18123.6710971914
"Lagoon","450","45.80","Europe","Italy",376937,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Italy",376937,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Italy",376556,"2012",31184.5584255896
"Lagoon","450","45.80","Europe","Croatia",364778,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",364501,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",363587,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",362911,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",339267,"2012",11720.1723170841
"Lagoon","450","45.80","Europe","Croatia",338302,"2012",11720.1723170841
"Lagoon","450","45.80","USA","Florida",459950,"2012",54213.4595516389
"Fountaine Pajot","Salina 48","47.00","Caribbean","Panama",249000,"2012",12130.2286354315
"Fountaine Pajot","Salina 48","47.00","Europe","France",358056,"2012",36182.1511275816
"Lagoon","500","51.00","Caribbean","Antigua and Barbuda",499000,"2012",15739.0348393989
"Lagoon","500","51.00","Caribbean","Puerto Rico",499000,"2012",29180.4121304848
"Leopard","39","37.50","Europe","Turkey",364424,"2013",10195.8475785153
"Leopard","39","37.50","Europe","Turkey",364125,"2013",10195.8475785153
"Lagoon","39","38.40","Europe","Cyprus",303982,"2013",22682.3671875
"Lagoon","39","38.40","Europe","Cyprus",303437,"2013",22682.3671875
"Lagoon","39","38.40","Europe","Italy",297369,"2013",30257.6274259351
"Lagoon","400","39.00","Europe","Italy",388400,"2013",30257.6274259351
"Lagoon","400","39.00","Europe","Italy",388400,"2013",30257.6274259351
"Fountaine Pajot","Lipari 41","39.00","Europe","Croatia",342763,"2013",11706.2249597058
"Lagoon","400 S2","39.00","Europe","Croatia",340115,"2013",11706.2249597058
"Lagoon","400","39.00","Europe","Croatia",339850,"2013",11706.2249597058
"Fountaine Pajot","Lipari 41","39.00","Europe","France",328323,"2013",36203.1908693774
"Lagoon","400","39.00","Europe","Greece",321895,"2013",17796.2576680722
"Lagoon","400","39.00","Europe","Greece",321644,"2013",17796.2576680722
"Lagoon","400 S2","39.00","Europe","Croatia",267197,"2013",11706.2249597058
"Lagoon","400","39.00","Europe","Croatia",267025,"2013",11706.2249597058
"Lagoon","400","39.00","Europe","Croatia",267025,"2013",11706.2249597058
"Fountaine Pajot","Lipari 41","39.00","Europe","Croatia",265811,"2013",11706.2249597058
"Lagoon","400","39.00","Europe","Croatia",242507,"2013",11706.2249597058
"Lagoon","421","42.00","Europe","Greece",423599,"2013",17796.2576680722
"Lagoon","421","42.00","Europe","Turkey",380579,"2013",10195.8475785153
"Leopard","44","42.50","Europe","Greece",302766,"2013",17796.2576680722
"Leopard","44","42.50","Europe","Greece",290606,"2013",17796.2576680722
"Fountaine Pajot","Helia 44","43.60","Europe","Italy",534050,"2013",30257.6274259351
"Fountaine Pajot","Helia 44","43.60","Europe","Greece",479824,"2013",17796.2576680722
"Fountaine Pajot","Helia 44","43.60","Europe","Greece",443382,"2013",17796.2576680722
"Fountaine Pajot","Helia 44","43.60","Europe","Greece",443019,"2013",17796.2576680722
"Lagoon","450","44.60","Europe","Greece",424206,"2013",17796.2576680722
"Lagoon","450","45.80","Caribbean","Panama",540000,"2013",12741.3804474508
"Lagoon","450","45.80","Caribbean","Bahamas",369000,"2013",29426.0226914783
"Lagoon","450F","45.80","Europe","Croatia",618603,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","Turkey",534050,"2013",10195.8475785153
"Lagoon","450","45.80","Europe","Greece",528393,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Greece",527981,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Turkey",521105,"2013",10195.8475785153
"Lagoon","450","45.80","Europe","Turkey",520184,"2013",10195.8475785153
"Lagoon","450","45.80","Europe","Spain",516246,"2013",24368.9682370919
"Lagoon","450","45.80","Europe","Spain",515844,"2013",24368.9682370919
"Lagoon","450F","45.80","Europe","France",462084,"2013",36203.1908693774
"Lagoon","450","45.80","Europe","Italy",461702,"2013",30257.6274259351
"Lagoon","450","45.80","Europe","Croatia",445907,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","Croatia",445006,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","Greece",424536,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Greece",419177,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Greece",418330,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","France",400850,"2013",36203.1908693774
"Lagoon","450","45.80","Europe","Croatia",400850,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","France",400537,"2013",36203.1908693774
"Lagoon","450","45.80","Europe","Croatia",400537,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","Greece",383017,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Greece",382727,"2013",17796.2576680722
"Lagoon","450","45.80","Europe","Croatia",376556,"2013",11706.2249597058
"Lagoon","450","45.80","Europe","Croatia",376262,"2013",11706.2249597058
"Lagoon","450","45.80","USA","Florida",510000,"2013",54830.7840664164
"Fountaine Pajot","Salina 48","47.00","Europe","France",473732,"2013",36203.1908693774
"Fountaine Pajot","Salina 48","47.00","Europe","France",473362,"2013",36203.1908693774
"Fountaine Pajot","Salina 48","47.00","Europe","France",473362,"2013",36203.1908693774
"Lagoon","52","52.00","Europe","Greece",851149,"2013",17796.2576680722
"Lagoon","52","52.00","Europe","Croatia",802512,"2013",11706.2249597058
"Lagoon","52","52.00","Europe","Croatia",802512,"2013",11706.2249597058
"Lagoon","52","52.00","USA","Florida",759000,"2013",54830.7840664164
"Leopard","39","37.50","Caribbean","Belize",245000,"2014",6034.40219556644
"Lagoon","39","38.00","USA","Florida",264000,"2014",55675.3868536862
"Lagoon","39","38.40","Europe","Greece",388554,"2014",18000.4184639065
"Lagoon","39","38.40","Europe","France",334042,"2014",36378.6186614699
"Lagoon","39","38.40","Europe","Portugal",327968,"2014",18833.0518281692
"Lagoon","39","38.40","Europe","Portugal",327712,"2014",18833.0518281692
"Lagoon","39","38.40","Europe","Turkey",315263,"2014",10556.1170411504
"Lagoon","39","38.40","Europe","Croatia",260208,"2014",11703.97887474
"Lagoon","39","38.40","Europe","Spain",241536,"2014",24783.0829468685
"Fountaine Pajot","Lipari 41","39.00","Caribbean","Grenada",345000,"2014",7939.50206647381
"Lagoon","400","39.00","Europe","Greece",361697,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",358056,"2014",18000.4184639065
"Lagoon","400 S2","39.00","Europe","Greece",333996,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",333781,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",333781,"2014",18000.4184639065
"Lagoon","400 S2","39.00","Europe","Greece",327923,"2014",18000.4184639065
"Lagoon","400 S2","39.00","Europe","Greece",327923,"2014",18000.4184639065
"Lagoon","400 S2","39.00","Europe","Malta",327923,"2014",23286.2264514326
"Lagoon","400 S2","39.00","Europe","Greece",327923,"2014",18000.4184639065
"Lagoon","400 S2","39.00","Europe","Greece",327923,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",327712,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",327712,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Malta",327712,"2014",23286.2264514326
"Lagoon","400","39.00","Europe","Greece",327712,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",327712,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","Greece",327712,"2014",18000.4184639065
"Lagoon","400","39.00","Europe","France",321644,"2014",36378.6186614699
"Lagoon","400 S2","39.00","Europe","France",315778,"2014",36378.6186614699
"Lagoon","400 S2","39.00","Europe","France",315778,"2014",36378.6186614699
"Lagoon","400","39.00","Europe","France",315575,"2014",36378.6186614699
"Lagoon","400","39.00","Europe","France",315575,"2014",36378.6186614699
"Lagoon","400","39.00","Europe","France",315575,"2014",36378.6186614699
"Lagoon","400","39.00","Europe","Greece",309506,"2014",18000.4184639065
"Fountaine Pajot","Lipari 41","39.00","Europe","Italy",267522,"2014",29979.9187217358
"Lagoon","421","42.00","Caribbean","Mexico",440000,"2014",9947.8860235819
"Lagoon","421","42.00","Europe","Greece",352619,"2014",18000.4184639065
"Lagoon","421","42.00","Europe","Greece",352214,"2014",18000.4184639065
"Lagoon","421","42.00","Europe","Greece",320000,"2014",18000.4184639065
"Lagoon","421","42.00","Europe","Greece",320000,"2014",18000.4184639065
"Leopard","44","42.50","Europe","Croatia",363145,"2014",11703.97887474
"Leopard","44","42.50","Europe","Croatia",362911,"2014",11703.97887474
"Leopard","44","42.50","Europe","Greece",314925,"2014",18000.4184639065
"Fountaine Pajot","Helia 44","43.60","USA","Florida",535000,"2014",55675.3868536862
"Lagoon","450","44.60","Europe","Italy",424812,"2014",29979.9187217358
"Lagoon","450","45.80","Caribbean","Antigua and Barbuda",449000,"2014",15882.3092572073
"Lagoon","450","45.80","Europe","Greece",557773,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Greece",557773,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Croatia",546539,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Croatia",545648,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Greece",522319,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Greece",521397,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","France",518675,"2014",36378.6186614699
"Lagoon","450","45.80","Europe","France",517759,"2014",36378.6186614699
"Lagoon","450F","45.80","Europe","Greece",510689,"2014",18000.4184639065
"Lagoon","450F","45.80","Europe","Greece",510302,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Greece",498530,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Greece",497146,"2014",18000.4184639065
"Lagoon","450","45.80","Europe","Croatia",484598,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Croatia",483808,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Croatia",472420,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Croatia",472029,"2014",11703.97887474
"Lagoon","450","45.80","Europe","Turkey",462000,"2014",10556.1170411504
"Lagoon","450","45.80","Europe","Italy",424393,"2014",29979.9187217358
"Fountaine Pajot","Salina 48","47.00","USA","Florida",485000,"2014",55675.3868536862
"Leopard","48","48.00","Europe","Croatia",472149,"2014",11703.97887474
"Leopard","48","48.00","Europe","Croatia",472149,"2014",11703.97887474
"Lagoon","52","52.00","Europe","Croatia",1003140,"2014",11703.97887474
"Lagoon","52","52.00","Europe","Croatia",1003140,"2014",11703.97887474
